%
% Comments go after a '%' sign.
%
%
% Relation: Dreams
%
%
% Attributes: 12     Instances: 16800
%
%

@relation Dreams

@attribute '0' numeric
@attribute 'Gender' numeric
@attribute 'Male' numeric
@attribute 'Animal' numeric
@attribute 'Friends' numeric
@attribute 'Family' numeric
@attribute 'Dead&Imaginary' numeric
@attribute 'Aggression/Friendliness' numeric
@attribute 'A/CIndex' numeric
@attribute 'F/CIndex' numeric
@attribute 'S/CIndex' numeric
@attribute 'NegativeEmotions' numeric

@data
15118,1.0,0.5,0.0,0.333333333,0.333333333,0.0,1.0,0.033333333300000004,0.0,0.0,0.0
9124,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
16948,1.0,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
14221,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8237,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.09090909090909091,0.0,0.0
15616,1.0,1.0,0.222222222,0.142857143,0.0,0.0,1.0,0.033333333300000004,0.0,0.0,1.0
2540,1.0,0.666666667,0.2,0.0,0.75,0.0,0.5,0.06,0.05454545454545454,0.05,1.0
2912,1.0,0.363636364,0.032258065,0.066666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1038,1.0,0.666666667,0.0,0.111111111,0.444444444,0.0,0.75,0.0666666667,0.010101010090909092,0.02777777775,1.0
19050,0.0,0.6,0.0,0.0,0.25,0.0,1.0,0.025,0.0,0.0,1.0
20608,0.0,0.4,0.0,0.058823529,0.117647059,0.0,1.0,0.0235294118,0.0053475935454545456,0.007352941125,1.0
4724,1.0,0.538461538,0.033333333,0.068965517,0.137931034,0.0,0.25,0.006666666700000001,0.018181818181818184,0.0125,1.0
729,1.0,0.5,0.090909091,0.1,0.1,0.0,0.5,0.0272727273,0.024793388454545453,0.02272727275,0.0
